participant_id,level_name,initial_match,game_batch,final_matchsum,final_matchcount
66a11acc6b25a,level_B_cal,1,15,17,17
66a11ad043778,level_B_cal,0,14,1,7
66a11ad043778,level_B_cal,1,14,16,17
66a11b2699606,level_B_cal,0,10,4,9
66a11b2699606,level_B_cal,1,10,14,15
66a11b2717d21,level_B_cal,0,43,0,7
66a11b2717d21,level_B_cal,1,43,17,17
66a11b2b744a3,level_B_cal,0,17,1,8
66a11b2b744a3,level_B_cal,1,17,16,16
66a11b31658c5,level_B_cal,0,9,1,5
66a11b31658c5,level_B_cal,1,9,17,19
66a11b38a7d29,level_B_cal,0,59,1,8
66a11b38a7d29,level_B_cal,1,59,16,16
66a11b5da85bb,level_B_cal,0,18,3,8
66a11b5da85bb,level_B_cal,1,18,15,16
66a11baedef53,level_B_cal,0,21,1,8
66a11baedef53,level_B_cal,1,21,16,16
66a11bc090854,level_B_cal,0,12,0,7
66a11bc090854,level_B_cal,1,12,16,17
66a11bcef03c5,level_B_cal,0,23,0,7
66a11bcef03c5,level_B_cal,1,23,17,17
66a11bf24a7cf,level_B_cal,0,41,1,10
66a11bf24a7cf,level_B_cal,1,41,14,14
66a11c51aba3c,level_B_cal,0,26,1,10
66a11c51aba3c,level_B_cal,1,26,13,14
66a11c7a269aa,level_B_cal,0,24,3,8
66a11c7a269aa,level_B_cal,1,24,16,16
66a11c88ca3a7,level_B_cal,0,29,3,10
66a11c88ca3a7,level_B_cal,1,29,14,14
66a11c914a693,level_B_cal,0,29,0,6
66a11c914a693,level_B_cal,1,29,18,18
66a11cfc10b06,level_B_cal,0,8,5,9
66a11cfc10b06,level_B_cal,1,8,14,15
66a11d0962bc3,level_B_cal,0,25,0,17
66a11d0962bc3,level_B_cal,1,25,7,7
66a11d1284c81,level_B_cal,0,31,5,11
66a11d1284c81,level_B_cal,1,31,13,13
66a11d27c3a93,level_B_cal,0,20,2,7
66a11d27c3a93,level_B_cal,1,20,16,17
66a11d48c75e2,level_B_cal,0,28,2,7
66a11d48c75e2,level_B_cal,1,28,16,17
66a11d4bb26ab,level_B_cal,0,24,4,8
66a11d4bb26ab,level_B_cal,1,24,15,16
66a11d4eb4c63,level_B_cal,0,39,2,6
66a11d4eb4c63,level_B_cal,1,39,17,18
66a11d55970ab,level_B_cal,0,27,1,8
66a11d55970ab,level_B_cal,1,27,16,16
